513 177 68 14515437
513 573 63 14516328
513 64 563 14517156
513 568 69 14518171
513 557 475 14518937
513 209 102 14519609
513 265 152 14520046
513 178 159 14520718
513 156 66 14521218
513 156 65 14521375
513 570 69 14522062
513 570 69 14522218
513 88 574 14523000
513 88 572 14523171
513 551 80 14523984
513 551 80 14524156
513 574 453 14525156
513 574 453 14525343
513 200 91 14526421
513 200 91 14526609
513 281 166 14527390
513 281 166 14527562
513 169 166 14528093
513 169 166 14528250
513 177 68 14515437 0.250758
513 573 63 14516328 0.444480
513 64 563 14517156 0.861714
513 568 69 14518171 0.695298
513 557 475 14518937 0.530221
513 209 102 14519609 0.759123
513 265 152 14520046 0.171792
513 178 159 14520718 0.129883
513 156 66 14521218 0.000000
513 156 65 14521375 0.146941
513 570 69 14522062 0.000000
513 570 69 14522218 0.491126
513 88 574 14523000 0.000000
513 88 572 14523171 0.731016
513 551 80 14523984 0.000000
513 551 80 14524156 0.685887
513 574 453 14525156 0.000000
513 574 453 14525343 0.314834
513 200 91 14526421 0.000000
513 200 91 14526609 0.411137
513 281 166 14527390 0.000000
513 281 166 14527562 0.115834
513 169 166 14528093 0.000000
513 169 166 14528250 0.162791
.#IND00

